"","X","id","submitter","authors","title","comments","journal.ref","doi","report.no","categories","license","abstract","versions","update_date","authors_parsed","v1_date"
"11",11,"0704.0225","Alexander Kashlinsky","A. Kashlinsky and D. Band","Exploring First Stars Era with GLAST","to appear in Proceedings of 1st International GLAST Symposium","AIP Conf.Proc.921:243-245,2007","10.1063/1.2757312","","astro-ph","","  Cosmic infrared background (CIB) includes emissions from objects inaccessible
to current telescopic studies, such as the putative Population III, the first
stars. Recently, strong direct evidence for significant CIB levels produced by
the first stars came from CIB fluctuations discovered in deep Spitzer images.
Such CIB levels should have left a unique absorption feature in the spectra of
high-z GRBs and blazars as suggested in [4]. This is observable with GLAST
sources at z>2 and measuring this absorption will give important information on
energetics and constituents of the first stars era.
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 16:13:32 GMT'}]","2009-06-23","[['Kashlinsky', 'A.', ''], ['Band', 'D.', '']]","2007-04-02"
"12",12,"0704.0266","Jennifer L. Hoffman","Jennifer L. Hoffman","Supernova Polarization and the Type IIn Classification","5 pages, 4 figures; to appear in ""Supernova 1987A: 20 Years After:
  Supernovae and Gamma-Ray Bursters"", AIP, New York, eds. S. Immler, K.W.
  Weiler, and R. McCray. v2: References added, typos corrected, and figures
  slightly modified for legibility when reduced in size","AIP Conf.Proc.937:365-369,2007","10.1063/1.2803592","","astro-ph","","  While the members of the Type IIn category of supernovae are united by the
presence of strong multicomponent Balmer emission lines in their spectra, they
are quite heterogeneous with respect to other properties such as Balmer line
profiles, light curves, strength of radio emission, and intrinsic brightness.
We are now beginning to see variety among SNe IIn in their polarimetric
characteristics as well, some but not all of which may be due to inclination
angle effects. The increasing number of known ""hybrid"" SNe with IIn-like
emission lines suggests that circumstellar material may be more common around
all types of SNe than previously thought. Investigation of the correlations
between spectropolarimetric signatures and other IIn attributes will help us
address the question of classification of ""interacting SNe"" and the possibility
of distinguishing different groups within the diverse IIn subclass.
","[{'version': 'v1', 'created': 'Mon, 2 Apr 2007 21:11:54 GMT'}, {'version': 'v2', 'created': 'Mon, 30 Apr 2007 22:58:28 GMT'}]","2009-06-23","[['Hoffman', 'Jennifer L.', '']]","2007-04-02"
"13",13,"0704.0304","Carlos Gershenson","Carlos Gershenson","The World as Evolving Information","16 pages. Extended version, three more laws of information, two
  classifications, and discussion added. To be published (soon) in
  International Conference on Complex Systems 2007 Proceedings","Minai, A., Braha, D., and Bar-Yam, Y., eds. Unifying Themes in
  Complex Systems VII, pp. 100-115. Springer, Berlin Heidelberg, 2012","10.1007/978-3-642-18003-3_10","","cs.IT cs.AI math.IT q-bio.PE","http://arxiv.org/licenses/nonexclusive-distrib/1.0/","  This paper discusses the benefits of describing the world as information,
especially in the study of the evolution of life and cognition. Traditional
studies encounter problems because it is difficult to describe life and
cognition in terms of matter and energy, since their laws are valid only at the
physical scale. However, if matter and energy, as well as life and cognition,
are described in terms of information, evolution can be described consistently
as information becoming more complex.
  The paper presents eight tentative laws of information, valid at multiple
scales, which are generalizations of Darwinian, cybernetic, thermodynamic,
psychological, philosophical, and complexity principles. These are further used
to discuss the notions of life, cognition and their evolution.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 02:08:48 GMT'}, {'version': 'v2', 'created': 'Thu, 30 Aug 2007 20:03:59 GMT'}, {'version': 'v3', 'created': 'Wed, 13 Oct 2010 19:49:16 GMT'}]","2013-04-05","[['Gershenson', 'Carlos', '']]","2007-04-03"
"14",14,"0704.0337","Francois Golse","Fran\c{c}ois Golse (CMLS-EcolePolytechnique","Bursting Dynamics of the 3D Euler Equations in Cylindrical Domains","","Instability in models connected with fluid flows I, Int. Math.
  Ser. (N. Y.), 6, (Springer, New York, 2008), 301--338","","","math.AP","","  A class of three-dimensional initial data characterized by uniformly large
vorticity is considered for the Euler equations of incompressible fluids. The
fast singular oscillating limits of the Euler equations are studied for
parametrically resonant cylinders. Resonances of fast swirling Beltrami waves
deplete the Euler nonlinearity. The resonant Euler equations are systems of
three-dimensional rigid body equations, coupled or not. Some cases of these
resonant systems have homoclinic cycles, and orbits in the vicinity of these
homoclinic cycles lead to bursts of the Euler solution measured in Sobolev
norms of order higher than that corresponding to the enstrophy.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 07:37:15 GMT'}]","2012-07-27","[['Golse', 'François', '', 'CMLS-EcolePolytechnique, LJLL'], ['Mahalov', 'Alex', ''], ['Nicolaenko', 'Basil', '']]","2007-04-03"
"15",15,"0704.0337","Francois Golse","LJLL)","Bursting Dynamics of the 3D Euler Equations in Cylindrical Domains","","Instability in models connected with fluid flows I, Int. Math.
  Ser. (N. Y.), 6, (Springer, New York, 2008), 301--338","","","math.AP","","  A class of three-dimensional initial data characterized by uniformly large
vorticity is considered for the Euler equations of incompressible fluids. The
fast singular oscillating limits of the Euler equations are studied for
parametrically resonant cylinders. Resonances of fast swirling Beltrami waves
deplete the Euler nonlinearity. The resonant Euler equations are systems of
three-dimensional rigid body equations, coupled or not. Some cases of these
resonant systems have homoclinic cycles, and orbits in the vicinity of these
homoclinic cycles lead to bursts of the Euler solution measured in Sobolev
norms of order higher than that corresponding to the enstrophy.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 07:37:15 GMT'}]","2012-07-27","[['Golse', 'François', '', 'CMLS-EcolePolytechnique, LJLL'], ['Mahalov', 'Alex', ''], ['Nicolaenko', 'Basil', '']]","2007-04-03"
"16",16,"0704.0337","Francois Golse","Alex Mahalov","Bursting Dynamics of the 3D Euler Equations in Cylindrical Domains","","Instability in models connected with fluid flows I, Int. Math.
  Ser. (N. Y.), 6, (Springer, New York, 2008), 301--338","","","math.AP","","  A class of three-dimensional initial data characterized by uniformly large
vorticity is considered for the Euler equations of incompressible fluids. The
fast singular oscillating limits of the Euler equations are studied for
parametrically resonant cylinders. Resonances of fast swirling Beltrami waves
deplete the Euler nonlinearity. The resonant Euler equations are systems of
three-dimensional rigid body equations, coupled or not. Some cases of these
resonant systems have homoclinic cycles, and orbits in the vicinity of these
homoclinic cycles lead to bursts of the Euler solution measured in Sobolev
norms of order higher than that corresponding to the enstrophy.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 07:37:15 GMT'}]","2012-07-27","[['Golse', 'François', '', 'CMLS-EcolePolytechnique, LJLL'], ['Mahalov', 'Alex', ''], ['Nicolaenko', 'Basil', '']]","2007-04-03"
"17",17,"0704.0337","Francois Golse","Basil Nicolaenko","Bursting Dynamics of the 3D Euler Equations in Cylindrical Domains","","Instability in models connected with fluid flows I, Int. Math.
  Ser. (N. Y.), 6, (Springer, New York, 2008), 301--338","","","math.AP","","  A class of three-dimensional initial data characterized by uniformly large
vorticity is considered for the Euler equations of incompressible fluids. The
fast singular oscillating limits of the Euler equations are studied for
parametrically resonant cylinders. Resonances of fast swirling Beltrami waves
deplete the Euler nonlinearity. The resonant Euler equations are systems of
three-dimensional rigid body equations, coupled or not. Some cases of these
resonant systems have homoclinic cycles, and orbits in the vicinity of these
homoclinic cycles lead to bursts of the Euler solution measured in Sobolev
norms of order higher than that corresponding to the enstrophy.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 07:37:15 GMT'}]","2012-07-27","[['Golse', 'François', '', 'CMLS-EcolePolytechnique, LJLL'], ['Mahalov', 'Alex', ''], ['Nicolaenko', 'Basil', '']]","2007-04-03"
"18",18,"0704.0344","Fabrizio Tavecchio","L. Maraschi","The Blazar Spectral Sequence and GLAST","3 pages, 4 figures. Proceedings of the First GLAST Symposium, to be
  published","AIP Conf.Proc.921:160-162,2007","10.1063/1.2757292","","astro-ph","","  The present status and understanding of the ""spectral sequence"" of blazars is
discussed in the perspective of the upcoming GLAST launch. The vast improvement
in sensitivity will allow to i) determine more objectively the ""average""
gamma-ray properties of classes objects ii) probe more deeply the ratio between
accretion power and jet power in different systems.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 08:30:14 GMT'}]","2009-06-23","[['Maraschi', 'L.', ''], ['Ghisellini', 'G.', ''], ['Tavecchio', 'F.', '']]","2007-04-03"
"19",19,"0704.0344","Fabrizio Tavecchio","G. Ghisellini","The Blazar Spectral Sequence and GLAST","3 pages, 4 figures. Proceedings of the First GLAST Symposium, to be
  published","AIP Conf.Proc.921:160-162,2007","10.1063/1.2757292","","astro-ph","","  The present status and understanding of the ""spectral sequence"" of blazars is
discussed in the perspective of the upcoming GLAST launch. The vast improvement
in sensitivity will allow to i) determine more objectively the ""average""
gamma-ray properties of classes objects ii) probe more deeply the ratio between
accretion power and jet power in different systems.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 08:30:14 GMT'}]","2009-06-23","[['Maraschi', 'L.', ''], ['Ghisellini', 'G.', ''], ['Tavecchio', 'F.', '']]","2007-04-03"
"20",20,"0704.0344","Fabrizio Tavecchio","F. Tavecchio","The Blazar Spectral Sequence and GLAST","3 pages, 4 figures. Proceedings of the First GLAST Symposium, to be
  published","AIP Conf.Proc.921:160-162,2007","10.1063/1.2757292","","astro-ph","","  The present status and understanding of the ""spectral sequence"" of blazars is
discussed in the perspective of the upcoming GLAST launch. The vast improvement
in sensitivity will allow to i) determine more objectively the ""average""
gamma-ray properties of classes objects ii) probe more deeply the ratio between
accretion power and jet power in different systems.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 08:30:14 GMT'}]","2009-06-23","[['Maraschi', 'L.', ''], ['Ghisellini', 'G.', ''], ['Tavecchio', 'F.', '']]","2007-04-03"
"21",21,"0704.0384","Denis Artemenkov","D. A. Artemenkov","Clustering features of $^9$Be, $^{14}$N, $^7$Be, and $^8$B nuclei in
  relativistic fragmentation","14 pages, 6 figures, 4 tables, International Symposium on Exotic
  Nuclei (EXON-2006), 17-22 July, 2006, Khanty-Mansiysk, Russia","AIPConf.Proc.912:78-87,2007","10.1063/1.2746582","","nucl-ex","","  Recent studies of clustering in light nuclei with an initial energy above 1 A
GeV in nuclear treack emulsion are overviewed. The results of investigations of
the relativistic $^9$Be nuclei fragmentation in emulsion, which entails the
production of He fragments, are presented. It is shown that most precise
angular measurements provided by this technique play a crucial role in the
restoration of the excitation spectrum of the $\alpha$ particle sysytem. In
peripheral interactions $^9$Be nuclei are dissociated practically totally
through the 0$^+$ and 2$^+$ states of the $^8$Be nucleus.
  The results of investigations of the dissociation of a $^{14}$N nucleus of
momentum 2.86 A GeV/c in emulsion are presented as example of more complicated
system. The momentum and correlation characteristics of $\alpha$ particles for
the $^{14}$N$\to3\alpha+X$ channel in the laboratory system and the rest
systems of 3$\alpha$ particles were considered in detail.
  Topology of charged fragments produced in peripheral relativistic
dissociation of radioactive $^8$B, $^7$Be nuclei in emulsion is studied.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 13:10:23 GMT'}]","2008-11-26","[['Artemenkov', 'D. A.', ''], ['Shchedrina', 'T. V.', ''], ['Stanoeva', 'R.', ''], ['Zarubin', 'P. I.', '']]","2007-04-03"
"22",22,"0704.0384","Denis Artemenkov","T. V. Shchedrina","Clustering features of $^9$Be, $^{14}$N, $^7$Be, and $^8$B nuclei in
  relativistic fragmentation","14 pages, 6 figures, 4 tables, International Symposium on Exotic
  Nuclei (EXON-2006), 17-22 July, 2006, Khanty-Mansiysk, Russia","AIPConf.Proc.912:78-87,2007","10.1063/1.2746582","","nucl-ex","","  Recent studies of clustering in light nuclei with an initial energy above 1 A
GeV in nuclear treack emulsion are overviewed. The results of investigations of
the relativistic $^9$Be nuclei fragmentation in emulsion, which entails the
production of He fragments, are presented. It is shown that most precise
angular measurements provided by this technique play a crucial role in the
restoration of the excitation spectrum of the $\alpha$ particle sysytem. In
peripheral interactions $^9$Be nuclei are dissociated practically totally
through the 0$^+$ and 2$^+$ states of the $^8$Be nucleus.
  The results of investigations of the dissociation of a $^{14}$N nucleus of
momentum 2.86 A GeV/c in emulsion are presented as example of more complicated
system. The momentum and correlation characteristics of $\alpha$ particles for
the $^{14}$N$\to3\alpha+X$ channel in the laboratory system and the rest
systems of 3$\alpha$ particles were considered in detail.
  Topology of charged fragments produced in peripheral relativistic
dissociation of radioactive $^8$B, $^7$Be nuclei in emulsion is studied.
","[{'version': 'v1', 'created': 'Tue, 3 Apr 2007 13:10:23 GMT'}]","2008-11-26","[['Artemenkov', 'D. A.', ''], ['Shchedrina', 'T. V.', ''], ['Stanoeva', 'R.', ''], ['Zarubin', 'P. I.', '']]","2007-04-03"
